T0,T2,T1,lagT1,lagT2,lagEnd,responseT1,responseT2
XHANDSX,XXFEETX,7777777,7,1,12,j,f
XSTOREX,XXSHOPX,1111111,9,3,8,j,f
CURTAIN,XDRAPEX,8888888,9,7,4,f,f
XXCATXX,XKITTEN,9999999,10,1,9,j,f
XPONDER,XTHINKX,5555555,9,7,4,j,f
XXBAGXX,XXSACKX,3333333,9,3,8,j,f
XSTRAWX,XXHAYXX,4444444,7,1,12,f,f
XWEEDSX,XROOTSX,7777777,8,3,9,j,f
PROMISE,XPLEDGE,2222222,7,1,12,f,f
